date,valeur
2022-10-04,100.020787
2022-10-05,99.985885
2022-10-06,100.023008
2022-10-07,100.026723
2022-10-10,100.033407
2022-10-11,100.119215
2022-10-12,99.298509
2022-10-13,100.893293
2022-10-14,99.391422
2022-10-17,99.81456
2022-10-18,98.219706
2022-10-19,99.165406
2022-10-20,102.039145
2022-10-21,101.942428
2022-10-24,101.349838
2022-10-25,101.087978
2022-10-26,101.279486
2022-10-27,100.842742
2022-10-28,100.556235
2022-10-31,101.602467
2022-11-01,104.056877
2022-11-02,103.433162
2022-11-03,104.383811
2022-11-04,106.104653
2022-11-07,104.747063
2022-11-08,104.062904
2022-11-09,101.68884
2022-11-10,101.195209
2022-11-11,100.602005
2022-11-14,100.064747
2022-11-15,100.114079
2022-11-16,99.183335
2022-11-17,97.232977
2022-11-18,97.958605
2022-11-21,96.02967
2022-11-22,99.150527
2022-11-23,98.859323
2022-11-24,98.317937
2022-11-25,98.660148
2022-11-28,97.599679
2022-11-29,97.729963
2022-11-30,98.263035
2022-12-01,98.151348
2022-12-02,96.900154
2022-12-05,95.764563
2022-12-06,94.640966
2022-12-07,93.60816
2022-12-08,93.669013
2022-12-09,93.329896
2022-12-12,93.167825
2022-12-13,94.722684
2022-12-14,94.012046
2022-12-15,91.345201
2022-12-16,90.938437
2022-12-19,91.39763
2022-12-20,91.993408
2022-12-21,93.505023
2022-12-22,92.723544
2022-12-23,92.932608
2022-12-26,92.932608
2022-12-27,93.274214
2022-12-28,93.025184
2022-12-29,93.46133
2022-12-30,92.66988
2023-01-02,93.733682
2023-01-03,93.631138
2023-01-04,94.65854
2023-01-05,94.66171
2023-01-06,96.739586
2023-01-09,96.953518
2023-01-10,96.449594
2023-01-11,96.695221
2023-01-12,98.005111
2023-01-13,98.147327
2023-01-16,97.977263
2023-01-17,97.631256
2023-01-18,98.189467
2023-01-19,97.182936
2023-01-20,98.341304
2023-01-23,98.900594
2023-01-24,98.544867
2023-01-25,98.348764
2023-01-26,98.96569
2023-01-27,99.284875
2023-01-30,98.475719
2023-01-31,98.592277
2023-02-01,98.317863
2023-02-02,96.189424
2023-02-03,95.850438
2023-02-06,95.168428
2023-02-07,95.540294
2023-02-08,95.554954
2023-02-09,96.337834
2023-02-10,95.000085
2023-02-13,95.837844
2023-02-14,95.926124
2023-02-15,96.171168
2023-02-16,97.073349
2023-02-17,96.184442
2023-02-20,95.921127
2023-02-21,95.41742
2023-02-22,94.853128
2023-02-23,95.464094
2023-02-24,93.753656
2023-02-27,95.397774
2023-02-28,95.600998
2023-03-01,95.14879
2023-03-02,95.447775
2023-03-03,97.127679
2023-03-06,97.521921
2023-03-07,96.570775
2023-03-08,96.821404
2023-03-09,96.322049
2023-03-10,94.50745
2023-03-13,90.473501
2023-03-14,92.294731
2023-03-15,88.188396
2023-03-16,89.545547
2023-03-17,88.081532
2023-03-20,89.111206
2023-03-21,91.214872
2023-03-22,91.335849
