date,asset_id,symbol,quote_currency,close_eur,close,ret_5d,ret_20d,ret_60d,ret_120d,vol_20d_ann,vol_60d_ann,drawdown_60d,drawdown_252d,sma20_ratio,sma50_ratio,sma200_ratio,observations
2026-09-22,AT0000A09ZL0,N550.MU,EUR,360.9100036621094,360.9100036621094,,,,,,,0.0,0.0,,,,3
2026-09-22,BE0003470755,SOLB.BR,EUR,25.280000686645508,25.280000686645508,-0.021671805829548307,-0.011727882640942489,-0.03805174938629896,0.002646490279874847,0.21335899198669994,0.16940796958630586,-0.06819867249098455,-0.14035087843632954,-0.019737064641468516,-0.03052612316359926,-0.013161068298272571,1283
2026-09-22,BE0974293251,ABI.BR,EUR,68.19999694824219,68.19999694824219,-0.00814434512201978,0.011269194533263027,-0.06138186745224439,0.12493127357289713,0.1702099664449348,0.22285078130359207,-0.1156914534747937,-0.14298171470367416,-0.00010266746540388283,-0.022014753564491896,0.04715926880824339,1283
2026-09-22,DE0005140008,DBK.DE,EUR,33.34000015258789,33.34000015258789,0.0,0.004216848988892741,0.1254008490325027,0.34593141261891036,0.27514792540038446,0.2694531624688755,-0.07552449686543927,-0.2676722440208219,-0.033742214457069375,0.007948107726093667,0.1182693124983285,1277
2026-09-22,DE0005190003,BMW.DE,EUR,60.7400016784668,60.7400016784668,-0.033725722419666204,0.04724140824942746,0.06077547081633261,-0.189264217765993,0.31445355251425244,0.2604739654875394,-0.06289106690748958,-0.38203233061612984,-0.01699301620858018,0.013001945013113803,-0.16344558900756878,1277
2026-09-22,DE0005552004,DHL.DE,EUR,58.77999877929688,58.77999877929688,0.053405010447690415,0.03413086948453614,0.10696799375510357,0.32908992656670577,0.17881447376170234,0.1937157380005677,-0.05845729999922167,-0.14333072083959342,0.05189690515718781,0.046674763851608514,0.18400130911822887,1277
2026-09-22,DE0005557508,DTE.DE,EUR,27.149999618530277,27.149999618530277,-0.060553634017279534,-0.06701033461776751,0.13836474567205825,-0.11764708434770343,0.23631603094605483,0.2982057544219127,-0.07093898811430299,-0.27769587398998596,-0.0393631271639,-0.030973181570509545,-0.041618600660207616,1277
2026-09-22,DE0005810055,DB1.DE,EUR,281.8999938964844,281.8999938964844,0.01622206236125301,-0.019478282099184785,0.18048572149886044,0.1221156899421505,0.2104638976176486,0.21357252796605428,-0.06009615132693824,-0.11953220395825659,0.0019014306568931882,0.030050112038716437,0.15518499188118162,1277
2026-09-22,DE0006048432,HEN3.DE,EUR,74.80000305175781,74.80000305175781,0.026344756732956665,-0.012410811176710723,0.017133561606530012,0.19324739940533497,0.1747251918373141,0.1858258751903776,-0.09398495881178781,-0.2432210362584949,0.001084094078738218,-0.009418427315725286,0.05689009926644917,1277
2026-09-22,DE0007030009,RHM.DE,EUR,1004.5999755859376,1004.5999755859376,-0.02333268575699543,-0.10159182663787858,0.0142352100817138,-0.3539371979216229,0.35099650685653033,0.3947436677399434,-0.1840197894679262,-0.5192044852564789,-0.044389403953423834,-0.07727523654778234,-0.2604166582439026,1277
2026-09-22,DE0007100000,MBG.DE,EUR,43.77999877929688,43.77999877929688,-0.059707957731910066,-0.02537843802577333,-0.0031876000793511494,-0.11110181679161313,0.28098635755894674,0.23854656008491984,-0.09427501048032905,-0.2555356413480826,-0.05328773462263725,-0.04971523883880624,-0.12454024945903619,1277
2026-09-22,DE0007164600,SAP.DE,EUR,186.16000366210935,186.16000366210935,-0.004917672439281651,0.003774382200482318,0.3892537586724578,0.27145437829205354,0.3756022245033157,0.4302816674489066,-0.10826954296796709,-0.460752560270804,0.00857092278183691,0.08212428031116503,0.12617560877660927,1277
2026-09-22,DE0007236101,SIE.DE,EUR,275.1499938964844,275.1499938964844,0.06317622439996051,-0.036420922224043806,-0.0213409216797249,0.28966480442931863,0.28177959761136534,0.27556479977407144,-0.10953941463317052,-0.20503662867365802,0.012362465559370817,0.000978581749611962,0.08084952299508252,1277
2026-09-22,DE0007664039,VOW3.DE,EUR,75.95999908447266,75.95999908447266,-0.06245368758635683,0.03628916673900551,0.08359487500580909,-0.07184591952541053,0.45551844098678834,0.3479748072747531,-0.09771354111054786,-0.3130182380526333,-0.03143130604485911,0.0013287677117368446,-0.09928961653383972,1277
2026-09-22,DE0008430026,MUV2.DE,EUR,508.0,508.0,-0.009360350833133468,-0.017788112896154673,0.03991811668372569,-0.023380122208434884,0.16752373203709214,0.16650402418051552,-0.06060606060606055,-0.1969919530344898,-0.008915848904532564,-0.012664322870118427,0.007419344166063713,1277
2026-09-22,DE000A0F5UK5,EXV6.DE,EUR,84.58000183105469,84.58000183105469,0.014878876261724683,-0.0425627650294933,0.08052617764280101,0.10753579138257474,0.22704280326331056,0.2603873479250469,-0.07666746769953992,-0.18396071944220127,-0.024553378865356135,0.010129983481845795,0.07193660300250793,1276
2026-09-22,DE000A0Q4R28,EXV5.DE,EUR,40.375,40.375,-0.013077483485885444,-0.001360383496428974,0.040862659867926254,-0.0007166963047795516,0.21096251416541137,0.18665063803440937,-0.04433257834687121,-0.20091842125448933,-0.014685147470574367,-0.0064155372088795515,-0.037795033887558005,1276
2026-09-22,DE000A0Q4R85,4BRZ.DE,USD,46.58811643976687,46.58811643976687,-0.0005110493602293875,0.08547505124256682,0.09368313844231091,-0.00040170927660720945,0.2520998706879611,0.20642718604244098,-0.08221780748007512,-0.1777901213915941,0.016499296541504505,0.04804730228381304,0.06412411716747224,1277
2026-09-22,DE000A1EWWW0,ADS.DE,EUR,148.10000610351562,148.10000610351562,0.04369282927210083,-0.029488858584628352,-0.1744703949713018,0.11845345023345955,0.2415200408149942,0.35820486871698165,-0.24481107767008126,-0.328630068972118,0.0080144824341708,-0.0671394583625129,-0.044700187024308224,1277
