asset_id,category,support_name,isin,currency,source_date,enabled
LU2210151341,Opcvm/FI,FF - ABSOLUTE RETURN GLOBAL EQUITY FUND A-PF-ACC-EURO (EURO/USD HEDGED),LU2210151341,EUR,2026-09-08,true
LU0260869739,Opcvm/FI,FRANKLIN U.S. OPPORTUNITIES FUND A ACC EUR,LU0260869739,EUR,2026-09-08,true
LU0048573561,Opcvm/FI,FF AMERICA FUND A USD,LU0048573561,EUR,2026-09-08,true
LU0261953904,Opcvm/FI,FIDELITY FUNDS - US HIGH YIELD FUND A-ACC-EUR,LU0261953904,EUR,2026-09-08,true
LU0231205187,Opcvm/FI,FRANKLIN INDIA FUND A(ACC)EUR,LU0231205187,EUR,2026-09-08,true
LU0114721508,Opcvm/FI,FIDELITY SUSTAINABLE CONSUMER BRANDS,LU0114721508,EUR,2026-09-08,true
LU0054754816,Opcvm/FI,FF SWITZERLAND FUND A CHF,LU0054754816,EUR,2026-09-08,true
LU0267388220,Opcvm/FI,FIDELITY FUNDS - EURO SHORT TERM BOND FUND A-ACC-EUR,LU0267388220,EUR,2026-09-08,true
LU0202403266,Opcvm/FI,FIDELITY ACTIVE STRATEGY - FAST - EUROPE FUND A-ACC-EUR,LU0202403266,EUR,2026-09-08,true
LU0061175625,Opcvm/FI,FIDELITY FUNDS - EUROPEAN SMALLER COMPANIES FUND A-DIST-EUR,LU0061175625,EUR,2026-09-08,true
LU0050427557,Opcvm/FI,FIDELITY FUNDS - LATIN AMERICA FUND A-DIST-USD,LU0050427557,EUR,2026-09-08,true
LU0261952419,Opcvm/FI,FF - GLOBAL HEALTH CARE FUND A-ACC-EUR,LU0261952419,EUR,2026-09-08,true
LU0119124781,Opcvm/FI,FF EUROPEAN DYNAMIC GROWTH A DIST EUR,LU0119124781,EUR,2026-09-08,true
LU0173614495,Opcvm/FI,FF CHINA FOCUS FUND A USD,LU0173614495,EUR,2026-09-08,true
LU0048574536,Opcvm/FI,FIDELITY FUNDS - AUSTRALIA FUND A-DIST-AUD,LU0048574536,EUR,2026-09-08,true
LU0055114457,Opcvm/FI,FF INDONESIA FUND A USD,LU0055114457,EUR,2026-09-08,true
FR0000097156,Opcvm/FI,GROUPAMA GLOBAL ACTIVE EQUITY,FR0000097156,EUR,2026-09-08,true
FR0011153014,Opcvm/FI,GINJER ACTIFS 360 A,FR0011153014,EUR,2026-09-08,true
FR0010086512,Opcvm/FI,GENERALI INVESTISSEMENT C,FR0010086512,EUR,2026-09-08,true
LU0571100824,Opcvm/FI,G FUND EUROPEAN CONVERTIBLE BONDS NC,LU0571100824,EUR,2026-09-08,true
FR0007064324,Opcvm/FI,GENERALI FRANCE FUTURE LEADERS,FR0007064324,EUR,2026-09-08,true
FR0013433067,Opcvm/FI,GEMCHINA R EUR,FR0013433067,EUR,2026-09-08,true
FR0000438905,Opcvm/FI,HSBC SUSTAINABLE GLOBAL EQUITY A,FR0000438905,EUR,2026-09-08,true
FR0010601971,Opcvm/FI,HMG DÉCOUVERTES C,FR0010601971,EUR,2026-09-08,true
FR0013351285,Opcvm/FI,HMG DÉCOUVERTES PME,FR0013351285,EUR,2026-09-08,true
LU0164881194,Opcvm/FI,HSBC GIF INDIAN EQUITY AC,LU0164881194,EUR,2026-09-08,true
LU0164865239,Opcvm/FI,HSBC GIF CHINESE EQUITY AC,LU0164865239,EUR,2026-09-08,true
FR0010896944,Opcvm/FI,INDOSUEZ EURO PATRIMOINE,FR0010896944,EUR,2026-09-08,true
LU0119750205,Opcvm/FI,INVESCO PAN EUROPEAN STRUCTURED EQUITY FUND A CAP,LU0119750205,EUR,2026-09-08,true
LU0131510165,Opcvm/FI,INDEPENDANCE ET EXPANSION FRANCE SMALL A,LU0131510165,EUR,2026-09-08,true
FR001400TS43,Opcvm/FI,IAM SPACE,FR001400TS43,EUR,2026-09-08,true
LU2798962978,Opcvm/FI,INDEPENDANCE AM EUROPE MID A-C,LU2798962978,EUR,2026-09-08,true
