asset_id,category,support_name,isin,currency,source_date,enabled
FR00140182K6,Actions,WORLDLINE,FR00140182K6,EUR,2026-09-08,true
LU1876459212,Opcvm/FI,AXIOM EUROPEAN BANKS EQUITY HC EUR(V),LU1876459212,EUR,2026-09-08,true
FR0000988057,Opcvm/FI,ARKÉA INDICIEL US P,FR0000988057,EUR,2026-09-08,true
FR0000447807,Opcvm/FI,AXA AMERIQUE ACTIONS A EUR CAP,FR0000447807,EUR,2026-09-08,true
LU0278937759,Opcvm/FI,ABRDN EM SM CIES A USD,LU0278937759,EUR,2026-09-08,true
LU0231459107,Opcvm/FI,ABERDEEN STANDARD SICAV I - ASIAN SMALLER COMPANIES FUND A ACC USD -,LU0231459107,USD,2026-09-08,true
LU0568621618,Opcvm/FI,AMUNDI FUNDS - CASH USD,LU0568621618,EUR,2026-09-08,true
FR0010687749,Opcvm/FI,AMILTON PREMIUM EUROPE R,FR0010687749,EUR,2026-09-08,true
FR0000975880,Opcvm/FI,ALLIANZ ACTIONS AEQUITAS R,FR0000975880,EUR,2026-09-08,true
LU0352312184,Opcvm/FI,ALLIANZ STRATEGY 50 CT EUR,LU0352312184,EUR,2026-09-08,true
FR0010156604,Opcvm/FI,AMUNDI OBLIG INTERNATIONALES P EUR,FR0010156604,EUR,2026-09-08,true
LU0840617350,Opcvm/FI,ALLIANZ GERMAN EQUITY AT EUR,LU0840617350,EUR,2026-09-08,true
LU0266012235,Opcvm/FI,AXA WF FRAMLINGTON GLOBAL REAL ESTATE SECURITIES A C EUR,LU0266012235,EUR,2026-09-08,true
FR0010375600,Opcvm/FI,AMPLEGEST PRICING POWER PART AC,FR0010375600,EUR,2026-09-08,true
FR0011631050,Opcvm/FI,AMPLEGEST PME PART AC,FR0011631050,EUR,2026-09-08,true
FR0007062567,Opcvm/FI,AXA ACT SOCIAL PROGRESS,FR0007062567,EUR,2026-09-08,true
LU0616241476,Opcvm/FI,AMUNDI FUNDS EURO AGGREGATE BOND A EUR C,LU0616241476,EUR,2026-09-08,true
FR0000172124,Opcvm/FI,AXA EURO 7-10 C,FR0000172124,EUR,2026-09-08,true
LU0266009793,Opcvm/FI,AXA WF GLOBAL INFLATION BONDS A CAP EUR,LU0266009793,EUR,2026-09-08,true
FR0000172041,Opcvm/FI,AXA AEDIFICANDI A,FR0000172041,EUR,2026-09-08,true
FR001400L7X7,Opcvm/FI,ARBEVEL SHORT TERM CREDIT - ACTION A,FR001400L7X7,EUR,2026-09-08,true
LU0090841262,Opcvm/FI,BGF WORLD GOLD FUND E2,LU0090841262,EUR,2026-09-08,true
LU0154236920,Opcvm/FI,BGF US FLEXIBLE EQUITY FUND E2,LU0154236920,EUR,2026-09-08,true
FR0010174144,Opcvm/FI,BDL REMPART EUROPE C,FR0010174144,EUR,2026-09-08,true
FR0010651224,Opcvm/FI,BDL CONVICTIONS C,FR0010651224,EUR,2026-09-08,true
LU0562822386,Opcvm/FI,BGF EUROPEAN EQUITY INCOME FUND A2 EUR,LU0562822386,EUR,2026-09-08,true
LU0823410724,Opcvm/FI,BNP PARIBAS FUNDS US SMALL CAPCLASSIC EURR,LU0823410724,EUR,2026-09-08,true
LU0147396450,Opcvm/FI,BGF GLOBAL ALLOCATION FUND E2,LU0147396450,EUR,2026-09-08,true
LU0147409709,Opcvm/FI,BGF LATIN AMERICAN FUND E2,LU0147409709,USD,2026-09-08,true
FR0010128587,Opcvm/FI,BNP PARIBAS SMALLCAP EUROLAND ISR,FR0010128587,EUR,2026-09-08,true
LU0224105477,Opcvm/FI,BLACKROCK GLOBAL FUNDS - CONTINENTAL EUROPEAN FLEXIBLE FUND A2 EUR,LU0224105477,EUR,2026-09-08,true
FR0010668145,Opcvm/FI,BNP PARIBAS AQUA C,FR0010668145,EUR,2026-09-08,true
FR0010616177,Opcvm/FI,BNP PARIBAS MIDCAP FRANCE ISR,FR0010616177,EUR,2026-09-08,true
LU0823425839,Opcvm/FI,BNP PARIBAS FUNDS CHINA EQUITY CLASSIC EUR CAPITALISATION,LU0823425839,EUR,2026-09-08,true
FR0007390174,Opcvm/FI,CM-CIC GLOBAL GOLD C,FR0007390174,EUR,2026-09-08,true
LU1379103812,Opcvm/FI,CLARESCO USA,LU1379103812,EUR,2026-09-08,true
LU1100076550,Opcvm/FI,CLARTAN VALEURS C,LU1100076550,EUR,2026-09-08,true
FR0010148981,Opcvm/FI,CARMIGNAC INVESTISSEMENT A EUR ACC,FR0010148981,EUR,2026-09-08,true
FR0007076930,Opcvm/FI,CENTIFOLIA C,FR0007076930,EUR,2026-09-08,true
FR0010147603,Opcvm/FI,CARMIGNAC INVESTISSEMENT LATITUDE A EUR ACC,FR0010147603,EUR,2026-09-08,true
FR0011400712,Opcvm/FI,CONSTANCE BE WORLD A EUR,FR0011400712,EUR,2026-09-08,true
FR0010149302,Opcvm/FI,CARMIGNAC EMERGENTS A EUR ACC,FR0010149302,EUR,2026-09-08,true
LU0592698954,Opcvm/FI,CARMIGNAC PORTFOLIO EMERGING PATRIMOINE A EUR ACC,LU0592698954,EUR,2026-09-08,true
FR0010135103,Opcvm/FI,CARMIGNAC PATRIMOINE A EUR ACC,FR0010135103,EUR,2026-09-08,true
FR0010836163,Opcvm/FI,CPR SILVER AGE P A/I,FR0010836163,EUR,2026-09-08,true
FR0010097683,Opcvm/FI,CPR CROISSANCE REACTIVE P,FR0010097683,EUR,2026-09-08,true
LU1530899142,Opcvm/FI,CPR INVEST - GLOBAL DISRUPTIVE OPPORTUNITIES CLASS A - ACC,LU1530899142,EUR,2026-09-08,true
LU1623762843,Opcvm/FI,CARMIGNAC PORTFOLIO CREDIT,LU1623762843,EUR,2026-09-08,true
IE00BQ3D6V05,Opcvm/FI,COMGEST GROWTH ASIA USD ACC,IE00BQ3D6V05,EUR,2026-09-08,true
FR0010149120,Opcvm/FI,CARMIGNAC SECURITE A EUR ACC,FR0010149120,EUR,2026-09-08,true
LU0099161993,Opcvm/FI,CARMIGNAC PORTFOLIO GRANDE EUROPE A EUR ACC,LU0099161993,EUR,2026-09-08,true
FR0000295230,Opcvm/FI,COMGEST RENAISSANCE EUROPE,FR0000295230,EUR,2026-09-08,true
FR0010321810,Opcvm/FI,COURS ECHIQUIER AGENOR SRI MID CAP EUROPE A,FR0010321810,EUR,2026-09-08,true
IE0030351732,Opcvm/FI,COMGEST GROWTH CHINA,IE0030351732,EUR,2026-09-08,true
FR0000284689,Opcvm/FI,COMGEST MONDE - C,FR0000284689,EUR,2026-09-08,true
FR00140081Y1,Opcvm/FI,CARMIGNAC CREDIT 2027,FR00140081Y1,EUR,2026-09-08,true
FR001400U4T1,Opcvm/FI,CARMIGNAC CREDIT 2031,FR001400U4T1,EUR,2026-09-08,true
FR001400KAV4,Opcvm/FI,CARMIGNAC CRÉDIT 2029,FR001400KAV4,EUR,2026-09-08,true
FR0010177899,Opcvm/FI,CHOIX SOLIDAIRE C,FR0010177899,EUR,2026-09-08,true
LU0616856935,Opcvm/FI,DWS INVEST I BRAZILIAN EQUITIES LC,LU0616856935,EUR,2026-09-08,true
FR0010229187,Opcvm/FI,DORVAL CONVICTIONS PEA R,FR0010229187,EUR,2026-09-08,true
FR0010557967,Opcvm/FI,DORVAL CONVICTIONS R,FR0010557967,EUR,2026-09-08,true
LU1694789535,Opcvm/FI,DNCA INVEST ALPHA BONDS B,LU1694789535,EUR,2026-09-08,true
LU0284394235,Opcvm/FI,DNCA INVEST EUROSE A EUR,LU0284394235,EUR,2026-09-08,true
FR0010158048,Opcvm/FI,DORVAL MANAGEURS R,FR0010158048,EUR,2026-09-08,true
FR0013334380,Opcvm/FI,DORVAL EUROPEAN CLIMATE INITIATIVE,FR0013334380,EUR,2026-09-08,true
LU0392098371,Opcvm/FI,DNCA INVEST - CREDIT CONVICTION - B,LU0392098371,EUR,2026-09-08,true
FR0013333838,Opcvm/FI,DORVAL CONVICTIONS GLOBAL PATRIMOINE,FR0013333838,EUR,2026-09-08,true
LU0641745681,Opcvm/FI,DNCA INVEST MIURI,LU0641745681,EUR,2026-09-08,true
