asset_id,category,support_name,isin,currency,source_date,enabled
FR0000974149,Opcvm/FI,ODDO BHF AVENIR EUROPE CR-EUR,FR0000974149,EUR,2026-09-08,true
FR0000003196,Opcvm/FI,OSTRUM SRI EURO SOVEREIGN BONDS,FR0000003196,EUR,2026-09-08,true
FR0000989915,Opcvm/FI,ODDO BHF IMMOBILIER CR-EUR,FR0000989915,EUR,2026-09-08,true
LU3103551860,Opcvm/FI,ODDO BHF GLOBAL NAVIGATOR CRW-EUR,LU3103551860,EUR,2026-09-08,true
FR001400C7W0,Opcvm/FI,ODDO BHF GLOBAL TARGET 2028,FR001400C7W0,EUR,2026-09-08,true
FR0014008NN3,Opcvm/FI,OFI INVEST ENERGY STRATEGIC METALS,FR0014008NN3,EUR,2026-09-08,true
LU1279334210,Opcvm/FI,PICTET - ROBOTICS P EUR,LU1279334210,EUR,2026-09-08,true
LU0255977455,Opcvm/FI,PICTET BIOTECH P EUR,LU0255977455,EUR,2026-09-08,true
LU0280435388,Opcvm/FI,PICTET - CLEAN ENERGY TRANSITION,LU0280435388,EUR,2026-09-08,true
LU0340554913,Opcvm/FI,PICTET DIGITAL P EUR,LU0340554913,EUR,2026-09-08,true
LU0190161025,Opcvm/FI,PICTET BIOTECH HP EUR,LU0190161025,EUR,2026-09-08,true
LU0128496485,Opcvm/FI,PICTET SHORT TERM MONEY MARKET USD P,LU0128496485,EUR,2026-09-08,true
LU0270904781,Opcvm/FI,PICTET-SECURITY P EUR,LU0270904781,EUR,2026-09-08,true
LU0280437673,Opcvm/FI,PICTET EMERGING LOCAL CURRENCY DEBT P EUR,LU0280437673,EUR,2026-09-08,true
LU0386882277,Opcvm/FI,PICTET-GLOBAL MEGATREND SELECTION-P EUR,LU0386882277,EUR,2026-09-08,true
LU0503631714,Opcvm/FI,PICTET - GLOBAL ENVIRONMENTAL OPPORTUNITIES P EUR,LU0503631714,EUR,2026-09-08,true
FR0000422859,Opcvm/FI,PLUVALCA FRANCE SMALL CAPS A,FR0000422859,EUR,2026-09-08,true
LU0070964530,Opcvm/FI,PICTET INDIAN EQUITIES P USD,LU0070964530,EUR,2026-09-08,true
LU0941349275,Opcvm/FI,PICTET MULTI ASSET GLOBAL OPPORTUNITIES R EUR,LU0941349275,EUR,2026-09-08,true
LU0217139020,Opcvm/FI,PICTET PREMIUM BRANDS P EUR,LU0217139020,EUR,2026-09-08,true
LU0104884860,Opcvm/FI,PICTET WATER P EUR,LU0104884860,EUR,2026-09-08,true
LU0340559557,Opcvm/FI,PICTET TIMBER P EUR,LU0340559557,EUR,2026-09-08,true
LU0188501257,Opcvm/FI,PICTET HEALTH P USD,LU0188501257,EUR,2026-09-08,true
LU0366534344,Opcvm/FI,PICTET-NUTRITION P EUR,LU0366534344,EUR,2026-09-08,true
LU0329355670,Opcvm/FI,ROBECO QI EM ACTIVE EQ D EUR,LU0329355670,EUR,2026-09-08,true
AT0000A09ZL0,Opcvm/FI,RAIFFEISEN INFRASTRUKTUR AKTIEN VT,AT0000A09ZL0,EUR,2026-09-08,true
FR0011069137,Opcvm/FI,R CONVICTION USA H,FR0011069137,EUR,2026-09-08,true
FR0010784348,Opcvm/FI,R-CO CONVICTION FRANCE C,FR0010784348,EUR,2026-09-08,true
FR0011261197,Opcvm/FI,R-CO VALOR,FR0011261197,EUR,2026-09-08,true
FR0010697482,Opcvm/FI,R-CO CONVICTION CREDIT 12M EURO C EUR,FR0010697482,EUR,2026-09-08,true
FR0010909531,Opcvm/FI,R-CO THEMATIC SILVER PLUS C,FR0010909531,EUR,2026-09-08,true
LU2181906426,Opcvm/FI,SYCOMORE FUND SUSTAINABLE TECH,LU2181906426,EUR,2026-09-08,true
LU0161305163,Opcvm/FI,SCHRODER ISF EUROPEAN VALUE EUR A ACC,LU0161305163,EUR,2026-09-08,true
LU1159238036,Opcvm/FI,STATE STREET EMU INDEX EQUITY FUND P,LU1159238036,EUR,2026-09-08,true
LU0248172537,Opcvm/FI,SCHRODER ISF EMERGING ASIA A ACCUMULATION EUR,LU0248172537,EUR,2026-09-08,true
LU1161083644,Opcvm/FI,STATE STREET PACIFIC EX JAPAN INDEX EQUITY FUND,LU1161083644,EUR,2026-09-08,true
LU0248178732,Opcvm/FI,SCHRODER ISF US SMALL & MID-CAP EQUITY EUR A ACC,LU0248178732,EUR,2026-09-08,true
FR0011169341,Opcvm/FI,SYCOMORE SÉLECTION RESPONSABLE R,FR0011169341,EUR,2026-09-08,true
LU1301026388,Opcvm/FI,SYCOMORE FUND SICAV - HAPPY @ WORK R,LU1301026388,EUR,2026-09-08,true
LU0302446645,Opcvm/FI,SCHRODER ISF GLOBAL CLIMATE CHANGE EQUITY EUR A ACC,LU0302446645,EUR,2026-09-08,true
FR0011198332,Opcvm/FI,SCHELCHER SHORT TERM ESG P,FR0011198332,EUR,2026-09-08,true
FR0010286013,Opcvm/FI,SEXTANT GRAND LARGE A,FR0010286013,EUR,2026-09-08,true
FR0011288513,Opcvm/FI,SYCOMORE SÉLECTION CRÉDIT R,FR0011288513,EUR,2026-09-08,true
LU1183791794,Opcvm/FI,SYCOMORE FUND EUROPE ECO SOLUTIONS,LU1183791794,EUR,2026-09-08,true
LU0246036288,Opcvm/FI,SCHRODER ISF EUROPEAN SPECIAL SITUATIONS EUR C ACC,LU0246036288,EUR,2026-09-08,true
